File Name,Significance,Notes
EpiretinalMembrane.gif,Retina,
CornealErosion.gif,Anterior Segment,
CornealFB.gif,Anterior Segment,
Molteno.gif,Glaucoma,
ArcuateScotoma.gif,Glaucoma,
Supramid.gif,,
Circinate.gif,Retina,
DiscHaem.gif,Retina,
Bleb.gif,Anterior Segment,
AngleRecession.gif,Anterior Segment,
UpShootFromRight.gif,,
CorticalCataract.gif,Anterior Segment,
Save.gif,,
MetalStent.gif,,
